Country,Year,Type,Total affected,Total damage ('000 US$),Total death
Lao,2000,Epidemic,0,0,44
Lao,200,Flood,450000,1000,15
Lao,2001,Flood,453000,0,0
Lao,2002,Flood,150000,0,0
Lao,2008,Flood,204190,0,6
Lao,2009,Flood,0,0,10
Lao,2009,Storm,128887,100000,16
Lao,2011,Flood,37000,0,14
Lao,2011,Flood,430000,0,34
Lao,2013,Epidemic,36000,0,77
Lao,2013,Flood,350077,60000,20
Lao,2013,Flood,224176,61000,3
