year,"disaster type","Country iso, Country name",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
2003,Earthquake,IDN,Indonesia,3,1,3100,9,140,3249,0
2003,Epidemic,IDN,Indonesia,1,0,2,0,0,2,0
2003,Epidemic,MYS,Malaysia,1,2,3,0,0,3,0
2003,Epidemic,PHL,Philippines,1,2,12,0,0,12,0
2003,Epidemic,SGP,Singapore,1,33,205,0,0,205,0
2003,Epidemic,THA,Thailand,2,9,11,0,0,11,0
2003,Epidemic,VNM,"Viet Nam",2,20,66,0,0,66,0
2003,Flood,IDN,Indonesia,8,414,438398,30,0,438428,0
2003,Flood,MYS,Malaysia,3,8,18800,0,0,18800,0
2003,Flood,PHL,Philippines,1,0,3500,0,0,3500,0
2003,Flood,THA,Thailand,3,9,107700,0,0,107700,26400
2003,Flood,VNM,"Viet Nam",3,128,402880,63,13880,416823,105000
2003,"Industrial accident",VNM,"Viet Nam",2,12,3500,35,0,3535,0
2003,Landslide,IDN,Indonesia,4,119,231006,322,0,231328,3961
2003,Landslide,PHL,Philippines,1,255,217934,54,0,217988,7000
2003,"Miscellaneous accident",PHL,Philippines,1,37,0,0,0,0,0
2003,"Miscellaneous accident",VNM,"Viet Nam",1,37,0,55,0,55,0
2003,Storm,PHL,Philippines,8,95,383037,21,83203,466261,35302
2003,Storm,THA,Thailand,1,0,5000,0,0,5000,0
2003,Storm,VNM,"Viet Nam",1,0,0,18,5000,5018,0
2003,"Transport accident",IDN,Indonesia,11,243,198,68,0,266,0
2003,"Transport accident",PHL,Philippines,2,101,203,0,0,203,0
2003,"Transport accident",VNM,"Viet Nam",1,14,0,6,0,6,0
2004,Earthquake,IDN,Indonesia,6,165816,139580,1253,532898,673731,4519600
2004,Earthquake,MYS,Malaysia,1,80,0,767,4296,5063,500000
2004,Earthquake,MMR,Myanmar,1,71,12500,0,3200,15700,500000
2004,Earthquake,THA,Thailand,1,8345,58550,8457,0,67007,1000000
2004,Epidemic,IDN,Indonesia,1,658,58301,0,0,58301,0
2004,Epidemic,PHL,Philippines,1,32,98,0,0,98,0
2004,Epidemic,THA,Thailand,1,14,8,0,0,8,0
2004,Epidemic,VNM,"Viet Nam",1,42,51,0,0,51,0
2004,Flood,KHM,Cambodia,1,0,0,0,0,0,0
2004,Flood,IDN,Indonesia,1,5,13000,0,0,13000,60000
2004,Flood,MYS,Malaysia,3,16,16038,0,15000,31038,10000
2004,Flood,PHL,Philippines,3,49,20194,0,1500,21694,0
2004,Flood,THA,Thailand,3,13,507000,0,0,507000,175000
2004,Flood,VNM,"Viet Nam",3,96,35000,18,0,35018,8000
2004,"Industrial accident",IDN,Indonesia,2,12,0,100,0,100,0
2004,"Industrial accident",THA,Thailand,1,14,0,2,0,2,0
2004,"Industrial accident",VNM,"Viet Nam",1,0,0,400,0,400,0
