year,"Country iso, Country name",occurrence,disaster type,Total deaths,Affected,Injured,Homeless,Total affected,Total damage,
2009,IDN,Indonesia,Flood,5,126,26800,4,0,26804,0
2009,IDN,Indonesia,Industrial accident,1,41,0,0,0,0,0
2009,IDN,Indonesia,Landslide,2,29,5,0,0,5,0
2009,IDN,Indonesia,Miscellaneous accident,2,45,0,13,0,13,0
2009,IDN,Indonesia,Transport accident,6,456,279,15,0,294,0
2010,IDN,Indonesia,Earthquake,2,547,11452,412,4600,16464,0
2010,IDN,Indonesia,Flood,7,411,52936,3424,230,56590,78000
2010,IDN,Indonesia,Landslide,1,13,0,18,0,18,0
2010,IDN,Indonesia,Miscellaneous accident,1,12,0,25,0,25,0
2010,IDN,Indonesia,Transport accident,3,68,122,30,0,152,0
2010,IDN,Indonesia,Volcanic activity,2,323,151745,455,0,152200,0
2011,IDN,Indonesia,Earthquake,2,11,0,0,95,95,5850
2011,IDN,Indonesia,Flood,6,62,15864,0,4000,19864,0
2011,IDN,Indonesia,Landslide,2,53,0,4,0,4,0
2011,IDN,Indonesia,Miscellaneous accident,1,48,0,39,0,39,0
2011,IDN,Indonesia,Transport accident,9,359,614,200,0,814,0
2011,IDN,Indonesia,Volcanic activity,2,3,2368,5,6000,8373,0
2012,IDN,Indonesia,Earthquake,4,13,5820,151,2355,8326,0
2012,IDN,Indonesia,Flood,7,41,32295,25,1000,33320,0
2012,IDN,Indonesia,Landslide,2,32,115,100,0,215,0
2012,IDN,Indonesia,Storm,2,21,10000,60,490,10550,1000
2012,IDN,Indonesia,Transport accident,6,188,219,0,0,219,0
2013,IDN,Indonesia,Earthquake,3,50,56638,2550,0,59188,130000
2013,IDN,Indonesia,Flood,10,89,591276,0,0,591276,3000000
2013,IDN,Indonesia,Industrial accident,1,28,10,0,0,10,0
2013,IDN,Indonesia,Landslide,2,34,0,3,0,3,0
2013,IDN,Indonesia,Miscellaneous accident,1,17,0,38,0,38,0
2013,IDN,Indonesia,Transport accident,2,47,189,0,0,189,0
2013,IDN,Indonesia,Volcanic activity,2,0,42027,0,0,42027,0
2014,IDN,Indonesia,Flood,6,77,417977,0,5250,423227,926000
2014,IDN,Indonesia,Industrial accident,3,46,0,5,0,5,0
2014,IDN,Indonesia,Landslide,2,127,1900,0,2000,3900,0
2014,IDN,Indonesia,Transport accident,5,262,53,0,0,53,0
2014,IDN,Indonesia,Volcanic activity,2,39,115088,72,0,115160,186000
2000,LAO,Lao P Dem Rep,Epidemic,2,44,9685,0,0,9685,0
2000,LAO,Lao P Dem Rep,Flood,1,15,450000,0,0,450000,1000
2000,LAO,Lao P Dem Rep,Transport accident,2,28,0,5,0,5,0
2001,LAO,Lao P Dem Rep,Flood,1,0,453000,0,0,453000,0
2002,LAO,Lao P Dem Rep,Flood,1,2,150000,0,0,150000,0
2007,LAO,Lao P Dem Rep,Epidemic,1,2,0,0,0,0,0
2008,LAO,Lao P Dem Rep,Flood,1,6,204190,0,0,204190,0
2009,LAO,Lao P Dem Rep,Flood,1,10,0,0,0,0,0
2009,LAO,Lao P Dem Rep,Storm,1,16,128796,91,0,128887,100000
2011,LAO,Lao P Dem Rep,Flood,2,48,467000,0,0,467000,0
2013,LAO,Lao P Dem Rep,Epidemic,1,77,36000,0,0,36000,0
2013,LAO,Lao P Dem Rep,Flood,2,23,574176,77,0,574253,121000
2013,LAO,Lao P Dem Rep,Transport accident,1,49,0,0,0,0,0
2014,LAO,Lao P Dem Rep,Flood,1,0,750,0,0,750,0
2000,MYS,Malaysia,Epidemic,2,4,988,0,0,988,0
2000,MYS,Malaysia,Flood,1,12,8000,0,0,8000,1000
2000,MYS,Malaysia,Storm,1,0,500,0,0,500,0
2000,MYS,Malaysia,Transport accident,2,68,0,0,0,0,0
2001,MYS,Malaysia,Flood,4,11,33200,0,0,33200,0
2001,MYS,Malaysia,Transport accident,1,14,0,0,0,0,0
2002,MYS,Malaysia,Landslide,1,10,0,0,0,0,0
2002,MYS,Malaysia,Storm,1,2,155,0,0,155,0
2003,MYS,Malaysia,Epidemic,1,2,3,0,0,3,0
2003,MYS,Malaysia,Flood,3,8,18800,0,0,18800,0
2004,MYS,Malaysia,Earthquake,1,80,0,767,4296,5063,500000
2004,MYS,Malaysia,Flood,3,16,16038,0,15000,31038,10000
2004,MYS,Malaysia,Storm,2,1,41000,0,0,41000,0
2005,MYS,Malaysia,Flood,2,13,30600,0,0,30600,0
2005,MYS,Malaysia,Wildfire,1,0,0,0,0,0,0
2006,MYS,Malaysia,Flood,4,6,106518,0,0,106518,22000
2007,MYS,Malaysia,Epidemic,1,56,0,0,0,0,0
2007,MYS,Malaysia,Flood,2,46,137533,0,29000,166533,968000
2008,MYS,Malaysia,Flood,2,0,8000,0,0,8000,0
2009,MYS,Malaysia,Flood,2,0,10875,0,0,10875,0
2010,MYS,Malaysia,Transport accident,1,26,0,11,0,11,0
2011,MYS,Malaysia,Flood,1,2,20000,0,0,20000,0
2011,MYS,Malaysia,Landslide,1,16,0,6,0,6,0
2013,MYS,Malaysia,Flood,1,4,75000,0,0,75000,0
2013,MYS,Malaysia,Transport accident,3,100,191,16,0,207,0
2014,MYS,Malaysia,Drought,1,0,2200000,0,0,2200000,0
2014,MYS,Malaysia,Flood,1,17,230000,0,0,230000,284000
2014,MYS,Malaysia,Transport accident,5,270,0,0,0,0,0
2001,MMR,Myanmar,Flood,1,51,0,0,3750,3750,0
2001,MMR,Myanmar,Transport accident,1,16,0,13,0,13,0
2002,MMR,Myanmar,Flood,1,21,50000,0,0,50000,0
2004,MMR,Myanmar,Earthquake,1,71,12500,0,3200,15700,500000
2004,MMR,Myanmar,Miscellaneous accident,1,30,0,30,0,30,0
2004,MMR,Myanmar,Storm,1,236,0,0,25000,25000,688
2005,MMR,Myanmar,Landslide,1,17,0,16,0,16,0
2006,MMR,Myanmar,Flood,1,25,10000,0,0,10000,0
2006,MMR,Myanmar,Storm,1,34,60075,31,0,60106,0
2007,MMR,Myanmar,Epidemic,1,30,0,0,0,0,0
2007,MMR,Myanmar,Flood,4,5,162317,110,4237,166664,0
2007,MMR,Myanmar,Transport accident,2,51,0,0,0,0,0
2008,MMR,Myanmar,Storm,1,138366,2400000,20000,0,2420000,4000000
2008,MMR,Myanmar,Transport accident,1,38,44,0,0,44,0
2009,MMR,Myanmar,Landslide,1,24,1351,0,0,1351,0
2009,MMR,Myanmar,Transport accident,1,50,0,0,0,0,0
2010,MMR,Myanmar,Industrial accident,1,14,0,58,0,58,0
2010,MMR,Myanmar,Landslide,1,68,145000,0,0,145000,0
2010,MMR,Myanmar,Storm,1,45,260000,49,0,260049,57000
