year,"Country iso, Country name",occurrence,disaster type,Total deaths,Affected,Injured,Homeless,Total affected,Total damage,
2011,VNM,Viet Nam,Transport accident,2,28,27,0,0,27,0
2012,VNM,Viet Nam,Flood,1,34,0,40,17500,17540,30000
2012,VNM,Viet Nam,Storm,3,38,59320,107,279545,338972,342800
2012,VNM,Viet Nam,Transport accident,1,35,0,23,0,23,0
2013,VNM,Viet Nam,Flood,6,141,2158865,66,2070,2161001,78500
2013,VNM,Viet Nam,Industrial accident,1,24,4385,97,30,4512,0
2013,VNM,Viet Nam,Miscellaneous accident,1,10,0,0,0,0,0
2013,VNM,Viet Nam,Storm,4,79,1962485,584,375,1963444,1474230
2014,VNM,Viet Nam,Storm,3,38,48075,0,0,48075,10700
2014,VNM,Viet Nam,Transport accident,1,16,0,5,0,5,0
