occurrence,year,"Country iso, Country name",disaster type,Total deaths,Affected,Injured,Homeless,Total affected,Total damage ('000 US$)
Indonesia,2008,IDN,Landslide,1,21,0,0,0,0
Indonesia,2008,IDN,Miscellaneous accident,2,37,0,11,0,0
Indonesia,2008,IDN,Volcanic activity,1,0,600,0,0,0
Indonesia,2009,IDN,Earthquake,5,1330,2846745,3619,0,2381000
Indonesia,2009,IDN,Flood,5,126,26800,4,0,0
Indonesia,2009,IDN,Industrial accident,1,41,0,0,0,0
Indonesia,2009,IDN,Landslide,2,29,5,0,0,0
Indonesia,2009,IDN,Miscellaneous accident,2,45,0,13,0,0
Indonesia,2009,IDN,Transport accident,6,456,279,15,0,0
Indonesia,2010,IDN,Earthquake,2,547,11452,412,4600,0
Indonesia,2010,IDN,Flood,7,411,52936,3424,230,78000
Indonesia,2010,IDN,Landslide,1,13,0,18,0,0
Indonesia,2010,IDN,Miscellaneous accident,1,12,0,25,0,0
Indonesia,2010,IDN,Transport accident,3,68,122,30,0,0
Indonesia,2010,IDN,Volcanic activity,2,323,151745,455,0,0
Indonesia,2011,IDN,Earthquake,2,11,0,0,95,5850
Indonesia,2011,IDN,Flood,6,62,15864,0,4000,0
Indonesia,2011,IDN,Landslide,2,53,0,4,0,0
Indonesia,2011,IDN,Miscellaneous accident,1,48,0,39,0,0
Indonesia,2011,IDN,Transport accident,9,359,614,200,0,0
Indonesia,2011,IDN,Volcanic activity,2,3,2368,5,6000,0
Indonesia,2012,IDN,Earthquake,4,13,5820,151,2355,0
Indonesia,2012,IDN,Flood,7,41,32295,25,1000,0
Indonesia,2012,IDN,Landslide,2,32,115,100,0,0
Indonesia,2012,IDN,Storm,2,21,10000,60,490,1000
Indonesia,2012,IDN,Transport accident,6,188,219,0,0,0
Indonesia,2013,IDN,Earthquake,3,50,56638,2550,0,130000
Indonesia,2013,IDN,Flood,10,89,591276,0,0,3000000
Indonesia,2013,IDN,Industrial accident,1,28,10,0,0,0
