occurrence,year,"Country iso, Country name",disaster type,Total deaths,Affected,Injured,Homeless,Total affected,Total damage,
Indonesia,2014,IDN,Volcanic activity,2,39,115088,72,0,115160,186000
Lao P Dem Rep,2000,LAO,Epidemic,2,44,9685,0,0,9685,0
Lao P Dem Rep,2000,LAO,Flood,1,15,450000,0,0,450000,1000
Lao P Dem Rep,2000,LAO,Transport accident,2,28,0,5,0,5,0
Lao P Dem Rep,2001,LAO,Flood,1,0,453000,0,0,453000,0
Lao P Dem Rep,2002,LAO,Flood,1,2,150000,0,0,150000,0
Lao P Dem Rep,2007,LAO,Epidemic,1,2,0,0,0,0,0
Lao P Dem Rep,2008,LAO,Flood,1,6,204190,0,0,204190,0
Lao P Dem Rep,2009,LAO,Flood,1,10,0,0,0,0,0
Lao P Dem Rep,2009,LAO,Storm,1,16,128796,91,0,128887,100000
Lao P Dem Rep,2011,LAO,Flood,2,48,467000,0,0,467000,0
Lao P Dem Rep,2013,LAO,Epidemic,1,77,36000,0,0,36000,0
Lao P Dem Rep,2013,LAO,Flood,2,23,574176,77,0,574253,121000
Lao P Dem Rep,2013,LAO,Transport accident,1,49,0,0,0,0,0
Lao P Dem Rep,2014,LAO,Flood,1,0,750,0,0,750,0
Malaysia,2000,MYS,Epidemic,2,4,988,0,0,988,0
Malaysia,2000,MYS,Flood,1,12,8000,0,0,8000,1000
Malaysia,2000,MYS,Storm,1,0,500,0,0,500,0
Malaysia,2000,MYS,Transport accident,2,68,0,0,0,0,0
Malaysia,2001,MYS,Flood,4,11,33200,0,0,33200,0
Malaysia,2001,MYS,Transport accident,1,14,0,0,0,0,0
Malaysia,2002,MYS,Landslide,1,10,0,0,0,0,0
Malaysia,2002,MYS,Storm,1,2,155,0,0,155,0
Malaysia,2003,MYS,Epidemic,1,2,3,0,0,3,0
Malaysia,2003,MYS,Flood,3,8,18800,0,0,18800,0
Malaysia,2004,MYS,Earthquake,1,80,0,767,4296,5063,500000
Malaysia,2004,MYS,Flood,3,16,16038,0,15000,31038,10000
Malaysia,2004,MYS,Storm,2,1,41000,0,0,41000,0
Malaysia,2005,MYS,Flood,2,13,30600,0,0,30600,0
Malaysia,2005,MYS,Wildfire,1,0,0,0,0,0,0
Malaysia,2006,MYS,Flood,4,6,106518,0,0,106518,22000
Malaysia,2007,MYS,Epidemic,1,56,0,0,0,0,0
Malaysia,2007,MYS,Flood,2,46,137533,0,29000,166533,968000
Malaysia,2008,MYS,Flood,2,0,8000,0,0,8000,0
Malaysia,2009,MYS,Flood,2,0,10875,0,0,10875,0
Malaysia,2010,MYS,Transport accident,1,26,0,11,0,11,0
Malaysia,2011,MYS,Flood,1,2,20000,0,0,20000,0
Malaysia,2011,MYS,Landslide,1,16,0,6,0,6,0
Malaysia,2013,MYS,Flood,1,4,75000,0,0,75000,0
Malaysia,2013,MYS,Transport accident,3,100,191,16,0,207,0
Malaysia,2014,MYS,Drought,1,0,2200000,0,0,2200000,0
Malaysia,2014,MYS,Flood,1,17,230000,0,0,230000,284000
Malaysia,2014,MYS,Transport accident,5,270,0,0,0,0,0
Myanmar,2001,MMR,Flood,1,51,0,0,3750,3750,0
Myanmar,2001,MMR,Transport accident,1,16,0,13,0,13,0
Myanmar,2002,MMR,Flood,1,21,50000,0,0,50000,0
Myanmar,2004,MMR,Earthquake,1,71,12500,0,3200,15700,500000
Myanmar,2004,MMR,Miscellaneous accident,1,30,0,30,0,30,0
Myanmar,2004,MMR,Storm,1,236,0,0,25000,25000,688
Myanmar,2005,MMR,Landslide,1,17,0,16,0,16,0
Myanmar,2006,MMR,Flood,1,25,10000,0,0,10000,0
Myanmar,2006,MMR,Storm,1,34,60075,31,0,60106,0
Myanmar,2007,MMR,Epidemic,1,30,0,0,0,0,0
Myanmar,2007,MMR,Flood,4,5,162317,110,4237,166664,0
Myanmar,2007,MMR,Transport accident,2,51,0,0,0,0,0
Myanmar,2008,MMR,Storm,1,138366,2400000,20000,0,2420000,4000000
Myanmar,2008,MMR,Transport accident,1,38,44,0,0,44,0
Myanmar,2009,MMR,Landslide,1,24,1351,0,0,1351,0
Myanmar,2009,MMR,Transport accident,1,50,0,0,0,0,0
Myanmar,2010,MMR,Industrial accident,1,14,0,58,0,58,0
Myanmar,2010,MMR,Landslide,1,68,145000,0,0,145000,0
Myanmar,2010,MMR,Storm,1,45,260000,49,0,260049,57000
Myanmar,2010,MMR,Transport accident,1,22,0,0,0,0,0
Myanmar,2011,MMR,Earthquake,1,74,18000,125,3152,21277,3600
Myanmar,2011,MMR,Flood,1,151,35734,0,0,35734,1700
Myanmar,2011,MMR,Miscellaneous accident,1,15,0,65,0,65,0
Myanmar,2012,MMR,Earthquake,1,38,1255,231,0,1486,1170
Myanmar,2012,MMR,Flood,1,2,85000,0,0,85000,0
Myanmar,2013,MMR,Flood,1,7,73300,0,0,73300,0
Myanmar,2013,MMR,Landslide,1,16,0,0,0,0,0
Myanmar,2013,MMR,Miscellaneous accident,1,13,0,0,0,0,0
Myanmar,2013,MMR,Transport accident,4,185,0,49,0,49,0
Myanmar,2014,MMR,Flood,2,0,40000,0,0,40000,0
Philippines,2000,PHL,Epidemic,1,1,664,0,0,664,0
Philippines,2000,PHL,Flood,3,55,160393,0,5250,165643,4080
Philippines,2000,PHL,Landslide,1,287,2800,38,0,2838,0
Philippines,2000,PHL,Mass movement (dry),1,11,0,0,0,0,0
Philippines,2000,PHL,Storm,6,394,6067076,355,120000,6187431,83464
Philippines,2000,PHL,Transport accident,5,343,0,47,0,47,0
Philippines,2000,PHL,Volcanic activity,1,0,68426,0,0,68426,2214
Philippines,2001,PHL,Flood,3,43,91300,0,0,91300,8000
Philippines,2001,PHL,Miscellaneous accident,1,73,0,51,0,51,0
Philippines,2001,PHL,Storm,6,587,3349957,480,100000,3450437,99061
Philippines,2001,PHL,Transport accident,2,35,0,0,0,0,0
Philippines,2001,PHL,Volcanic activity,2,0,83221,0,0,83221,2580
Philippines,2002,PHL,Drought,1,0,0,0,0,0,453
Philippines,2002,PHL,Earthquake,1,15,73351,100,0,73451,1714
Philippines,2002,PHL,Flood,4,90,155500,67,0,155567,1842
Philippines,2002,PHL,Storm,6,215,979128,66,3000,982194,13534
Philippines,2002,PHL,Transport accident,7,207,0,76,0,76,0
Philippines,2003,PHL,Epidemic,1,2,12,0,0,12,0
Philippines,2003,PHL,Flood,1,0,3500,0,0,3500,0
Philippines,2003,PHL,Landslide,1,255,217934,54,0,217988,7000
Philippines,2003,PHL,Miscellaneous accident,1,37,0,0,0,0,0
Philippines,2003,PHL,Storm,8,95,383037,21,83203,466261,35302
Philippines,2003,PHL,Transport accident,2,101,203,0,0,203,0
Philippines,2004,PHL,Epidemic,1,32,98,0,0,98,0
Philippines,2004,PHL,Flood,3,49,20194,0,1500,21694,0
Philippines,2004,PHL,Landslide,1,8,0,6,0,6,0
Philippines,2004,PHL,Miscellaneous accident,3,12,0,23,20200,20223,0
Philippines,2004,PHL,Storm,8,1861,3232763,1315,7200,3241278,138867
Philippines,2004,PHL,Transport accident,3,168,765,120,0,885,0
Philippines,2005,PHL,Flood,2,5,193046,0,0,193046,515
Philippines,2005,PHL,Industrial accident,1,24,0,0,0,0,0
Philippines,2005,PHL,Miscellaneous accident,4,29,0,241,4500,4741,182
Philippines,2005,PHL,Storm,2,34,20011,0,0,20011,2000
Philippines,2005,PHL,Transport accident,1,24,0,9,0,9,0
Philippines,2006,PHL,Flood,6,36,732509,0,0,732509,14157
Philippines,2006,PHL,Industrial accident,2,0,21000,0,0,21000,0
Philippines,2006,PHL,Landslide,3,1143,14607,44,0,14651,2203
Philippines,2006,PHL,Miscellaneous accident,3,97,0,443,11200,11643,976
Philippines,2006,PHL,Storm,10,1805,7819149,2659,0,7821808,330921
Philippines,2006,PHL,Volcanic activity,1,0,43849,0,0,43849,0
Philippines,2007,PHL,Drought,1,0,0,0,0,0,0
Philippines,2007,PHL,Flood,5,40,86747,0,0,86747,6600
Philippines,2007,PHL,Miscellaneous accident,1,0,0,0,13997,13997,0
Philippines,2007,PHL,Storm,9,89,1922285,24,0,1922309,10215
Philippines,2007,PHL,Transport accident,2,66,124,30,0,154,0
Philippines,2007,PHL,Volcanic activity,1,0,14036,0,0,14036,0
Philippines,2008,PHL,Flood,8,116,1552848,41,50000,1602889,39577
Philippines,2008,PHL,Landslide,1,24,5000,28,0,5028,0
Philippines,2008,PHL,Miscellaneous accident,1,1,0,3,5000,5003,0
Philippines,2008,PHL,Storm,11,819,6846388,946,4645,6851979,441625
Philippines,2008,PHL,Transport accident,3,913,171,0,0,171,0
Philippines,2009,PHL,Earthquake,1,0,380,2,10,392,90
Philippines,2009,PHL,Flood,8,55,1083261,15,0,1083276,29314
Philippines,2009,PHL,Landslide,1,10,0,16,0,16,0
Philippines,2009,PHL,Storm,14,1242,12220696,867,100,12221663,932703
Philippines,2009,PHL,Transport accident,4,99,957,0,0,957,0
Philippines,2009,PHL,Volcanic activity,1,0,47137,0,0,47137,0
Philippines,2010,PHL,Epidemic,1,737,0,123939,0,123939,0
Philippines,2010,PHL,Flood,9,162,2846913,22,0,2846935,50589
Philippines,2010,PHL,Landslide,1,2,925,2,0,927,78
Philippines,2010,PHL,Miscellaneous accident,2,15,0,0,2000,2000,0
Philippines,2010,PHL,Storm,3,212,2595412,133,0,2595545,284420
Philippines,2010,PHL,Transport accident,4,77,14,20,0,34,0
Philippines,2010,PHL,Volcanic activity,1,0,14161,0,0,14161,0
Philippines,2011,PHL,Earthquake,1,0,25,3,0,28,0
Philippines,2011,PHL,Epidemic,3,56,7395,200,0,7595,0
Philippines,2011,PHL,Flood,15,122,2218638,190,0,2218828,202787
Philippines,2011,PHL,Landslide,3,29,870,19,0,889,0
Philippines,2011,PHL,Miscellaneous accident,3,13,0,17,30000,30017,701
Philippines,2011,PHL,Storm,12,1782,9462385,6291,0,9468676,527238
Philippines,2011,PHL,Transport accident,2,40,1,20,0,21,0
Philippines,2011,PHL,Volcanic activity,2,0,33931,0,0,33931,0
Philippines,2012,PHL,Earthquake,3,114,353034,123,0,353157,12144
Philippines,2012,PHL,Epidemic,1,30,3158,0,0,3158,0
Philippines,2012,PHL,Flood,8,157,4578850,16,35762,4614628,75330
Philippines,2012,PHL,Landslide,1,75,7,16,0,23,0
Philippines,2012,PHL,Miscellaneous accident,1,18,0,3,0,3,0
Philippines,2012,PHL,Storm,9,2039,7557756,2724,0,7560480,918137
Philippines,2012,PHL,Transport accident,1,24,0,0,0,0,0
Philippines,2013,PHL,Earthquake,1,230,3221248,976,0,3222224,51459
Philippines,2013,PHL,Flood,5,105,4500279,59,0,4500338,2234788
Philippines,2013,PHL,Storm,8,7415,17915713,28858,0,17944571,10136563
Philippines,2013,PHL,Transport accident,2,159,629,20,0,649,0
Philippines,2014,PHL,Flood,3,5,145130,0,0,145130,0
Philippines,2014,PHL,Miscellaneous accident,1,2,0,599,0,599,0
Philippines,2014,PHL,Storm,9,326,13066714,2269,0,13068983,1062899
Philippines,2014,PHL,Transport accident,1,0,14,0,0,14,0
Philippines,2014,PHL,Volcanic activity,1,0,60545,0,0,60545,0
